Employee_id,Employee_name,date,In-time,out-time
2,shyam,23-02-2023,10:31,22:48
2,shyam,24-02-2023,08:24,22:11
2,shyam,25-02-2023,06:11,22:49
2,shyam,26-02-2023,05:45,15:42
2,shyam,27-02-2023,,
2,shyam,28-02-2023,14:37,22:01
2,shyam,01-03-2023,,
2,shyam,02-03-2023,08:17,21:14
2,shyam,03-03-2023,08:31,20:08
2,shyam,04-03-2023,11:58,21:28
2,shyam,05-03-2023,11:40,18:28
2,shyam,06-03-2023,07:41,22:22
2,shyam,07-03-2023,,
2,shyam,08-03-2023,05:01,16:10
2,shyam,09-03-2023,06:42,18:30
2,shyam,10-03-2023,13:29,22:34
2,shyam,11-03-2023,05:14,20:14
2,shyam,12-03-2023,09:22,21:01
2,shyam,13-03-2023,11:19,19:49
2,shyam,14-03-2023,09:52,18:09
2,shyam,15-03-2023,,
2,shyam,16-03-2023,10:50,21:46
2,shyam,17-03-2023,07:07,22:57
2,shyam,18-03-2023,05:25,21:39
2,shyam,19-03-2023,13:49,18:05
2,shyam,20-03-2023,10:08,20:28
2,shyam,21-03-2023,10:24,17:28
2,shyam,22-03-2023,08:12,16:06
2,shyam,23-03-2023,10:15,16:11
2,shyam,24-03-2023,05:40,21:26
